2025-04-18 00:06:43 INFO  o.a.c.c.C.[.[localhost].[/fms] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-18 00:08:15 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2025-04-18 00:09:59 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-18 00:09:59 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-04-18 00:09:59 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-04-18 00:09:59 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-04-18 00:09:59 INFO  com.nmims.fms.FmsApplication - Starting FmsApplication using Java 21.0.6 with PID 17092 (D:\java projects\fms\fms\target\classes started by Admin in D:\java projects\fms\fms)
2025-04-18 00:09:59 INFO  com.nmims.fms.FmsApplication - The following 1 profile is active: "dev"
2025-04-18 00:09:59 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8000 (http)
2025-04-18 00:09:59 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-18 00:09:59 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-04-18 00:09:59 INFO  o.a.c.c.C.[.[localhost].[/fms] - Initializing Spring embedded WebApplicationContext
2025-04-18 00:09:59 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 84 ms
2025-04-18 00:09:59 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-04-18 00:09:59 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8000 (http) with context path '/fms'
2025-04-18 00:09:59 INFO  com.nmims.fms.FmsApplication - Started FmsApplication in 0.174 seconds (process running for 5468.317)
2025-04-18 00:09:59 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2025-04-18 00:10:07 INFO  o.a.c.c.C.[.[localhost].[/fms] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-18 00:11:58 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 1 deletion, 0 modifications)
2025-04-18 00:12:24 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-18 00:12:24 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2025-04-18 00:12:24 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
